transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_YesNo,order,line_item_id,product_id,quantity,unit_price,line_item_amount,promo_item_YesNo
357,2019/04/01,15:34:10,3,12,530,No,1,5,76,1,3.5,3.5,No
360,2019/04/01,15:30:57,3,17,114,Yes,1,1,38,2,3.75,7.5,No
366,2019/04/01,18:33:47,3,17,301,No,1,1,51,1,3,3,No
384,2019/04/01,16:04:18,3,17,602,Yes,1,1,54,2,2.5,5,No
385,2019/04/01,11:32:46,3,12,565,Yes,1,1,31,2,2.2,4.4,No
389,2019/04/01,17:00:27,3,12,335,Yes,1,1,29,1,2.5,2.5,No
390,2019/04/01,12:20:37,3,12,52,Yes,1,1,25,1,2.2,2.2,No
391,2019/04/01,18:05:52,3,12,216,No,1,1,33,2,3.5,7,No
391,2019/04/01,18:05:52,3,12,216,No,1,5,79,1,3.75,3.75,No
396,2019/04/01,14:45:31,3,17,550,Yes,1,1,47,1,3,3,No
405,2019/04/01,19:31:31,3,17,481,No,1,1,26,2,3,6,No
411,2019/04/01,12:23:27,3,12,516,No,1,1,22,2,2,4,No
413,2019/04/01,16:03:50,3,17,508,No,1,1,31,1,2.2,2.2,No
413,2019/04/01,16:03:50,3,17,508,No,1,5,76,1,3.5,3.5,No
421,2019/04/01,19:52:28,3,17,717,No,1,1,34,2,2.45,4.9,No
422,2019/04/01,14:14:08,3,17,641,Yes,1,1,26,1,3,3,No
426,2019/04/01,15:45:16,3,17,525,No,1,1,46,2,2.5,5,No
427,2019/04/01,19:03:00,3,12,384,Yes,1,1,22,1,2,2,No
429,2019/04/01,12:56:59,3,17,784,Yes,1,1,47,1,3,3,No
434,2019/04/01,17:26:52,3,12,383,No,1,1,26,2,3,6,No
446,2019/04/01,12:15:02,3,12,659,Yes,1,1,50,2,2.5,5,No
447,2019/04/01,14:51:44,3,17,235,Yes,1,1,30,1,3,3,No
451,2019/04/01,12:55:25,3,12,319,Yes,1,1,49,1,3,3,No
457,2019/04/01,16:17:06,3,12,647,No,1,1,34,2,2.45,4.9,No
459,2019/04/01,18:09:04,3,17,320,Yes,1,1,35,1,3.1,3.1,No
461,2019/04/01,17:54:11,3,17,326,Yes,1,1,56,2,2.55,5.1,No
470,2019/04/01,18:38:00,3,12,122,Yes,1,1,41,1,4.25,4.25,No
474,2019/04/01,18:13:09,3,12,453,Yes,1,1,59,1,4.5,4.5,No
480,2019/04/01,16:37:34,3,17,185,No,1,1,26,2,3,6,No
483,2019/04/01,19:15:15,3,12,393,No,1,1,55,1,4,4,No
490,2019/04/01,16:24:40,3,12,392,Yes,1,1,47,2,3,6,No
490,2019/04/01,16:24:40,3,12,392,Yes,1,5,74,1,3.5,3.5,No
494,2019/04/01,18:25:42,3,12,241,No,1,1,35,1,3.1,3.1,No
495,2019/04/01,18:51:23,3,17,777,No,1,1,24,2,3,6,No
497,2019/04/01,16:49:38,3,12,407,Yes,1,1,52,1,2.5,2.5,No
501,2019/04/01,16:16:43,3,17,659,No,1,1,39,1,4.25,4.25,No
510,2019/04/01,15:15:17,3,12,288,Yes,1,1,35,2,3.1,6.2,No
510,2019/04/01,15:15:17,3,12,288,Yes,1,5,79,1,3.75,3.75,No
511,2019/04/01,18:07:54,3,12,15,No,1,1,26,2,3,6,No
513,2019/04/01,11:08:11,3,17,486,Yes,1,1,59,1,4.5,4.5,No
516,2019/04/01,16:02:33,3,12,206,Yes,1,1,43,2,3,6,No
516,2019/04/01,16:02:33,3,12,206,Yes,1,5,71,1,3.75,3.75,No
523,2019/04/01,14:00:44,3,17,315,No,1,1,25,1,2.2,2.2,No
528,2019/04/01,17:12:46,3,17,197,Yes,1,1,55,2,4,8,No
529,2019/04/01,19:49:37,3,12,329,No,1,1,36,1,3.75,3.75,No
530,2019/04/01,19:28:35,3,17,184,Yes,1,1,55,1,4,4,No
534,2019/04/01,18:52:34,3,17,474,No,1,1,22,1,2,2,No
537,2019/04/01,12:18:27,3,17,706,Yes,1,1,38,1,3.75,3.75,No
539,2019/04/01,17:18:36,3,17,384,Yes,1,1,29,1,2.5,2.5,No
541,2019/04/01,19:17:34,3,12,537,Yes,1,1,52,2,2.5,5,No
546,2019/04/01,18:49:48,3,17,128,No,1,1,27,1,3.5,3.5,No
550,2019/04/01,11:12:39,3,17,349,Yes,1,1,22,2,2,4,No
554,2019/04/01,17:11:09,3,17,245,No,1,1,25,1,2.2,2.2,No
555,2019/04/01,18:23:47,3,17,244,No,1,1,32,2,3,6,No
558,2019/04/01,13:44:48,3,12,65,Yes,1,1,56,1,2.55,2.55,No
562,2019/04/01,13:03:13,3,12,616,No,1,1,43,2,3,6,No
565,2019/04/01,11:45:11,3,12,284,No,1,1,51,2,3,6,No
566,2019/04/01,12:20:16,3,17,384,Yes,1,1,60,2,3.75,7.5,No
575,2019/04/01,17:41:55,3,17,269,No,1,1,55,2,4,8,No
575,2019/04/01,17:41:55,3,17,269,No,1,5,71,1,3.75,3.75,No
580,2019/04/01,11:15:17,3,17,736,No,1,1,54,2,2.5,5,No
585,2019/04/01,17:58:05,3,17,385,No,1,1,52,2,2.5,5,No
586,2019/04/01,15:14:19,3,12,25,Yes,1,1,26,2,3,6,No
588,2019/04/01,12:45:52,3,17,200,Yes,1,1,28,2,2,4,No
590,2019/04/01,16:39:24,3,17,450,Yes,1,1,36,1,3.75,3.75,No
591,2019/04/01,16:32:46,3,17,644,No,1,1,51,2,3,6,No
593,2019/04/01,18:18:10,3,17,482,No,1,1,59,1,4.5,4.5,No
599,2019/04/01,12:58:29,3,12,83,No,1,1,41,1,4.25,4.25,No
601,2019/04/01,11:47:57,3,17,199,No,1,1,23,1,2.5,2.5,No
601,2019/04/01,11:47:57,3,17,199,No,1,5,69,1,3.25,3.25,No
602,2019/04/01,16:22:38,3,12,425,No,1,1,22,1,2,2,No
610,2019/04/01,15:30:16,3,12,222,Yes,1,1,43,1,3,3,No
611,2019/04/01,11:17:40,3,17,776,No,1,1,51,2,3,6,No
616,2019/04/01,11:30:18,3,12,190,No,1,1,30,2,3,6,No
625,2019/04/01,18:34:46,3,12,729,Yes,1,1,25,2,2.2,4.4,No
625,2019/04/01,18:34:46,3,12,729,Yes,1,5,77,1,3,3,No
641,2019/04/01,16:48:51,3,12,749,Yes,1,1,59,1,4.5,4.5,No
646,2019/04/01,18:16:21,3,12,281,Yes,1,1,54,2,2.5,5,No
660,2019/04/01,19:58:29,3,17,362,Yes,1,1,55,1,4,4,No
675,2019/04/01,15:29:24,3,17,271,Yes,1,1,57,1,3.1,3.1,No
675,2019/04/01,15:29:24,3,17,271,Yes,1,5,70,1,3.25,3.25,No
676,2019/04/01,11:09:01,3,12,289,No,1,1,59,1,4.5,4.5,No
677,2019/04/01,14:01:57,3,12,124,Yes,1,1,36,2,3.75,7.5,No
684,2019/04/01,11:57:17,3,12,693,Yes,1,1,37,2,3,6,No
691,2019/04/01,17:39:57,3,12,602,No,1,1,25,1,2.2,2.2,No
691,2019/04/01,17:39:57,3,12,602,No,1,5,77,1,3,3,No
693,2019/04/01,18:13:19,3,17,376,Yes,1,1,60,2,3.75,7.5,No
694,2019/04/01,14:19:10,3,12,251,Yes,1,1,60,1,3.75,3.75,No
703,2019/04/01,13:21:23,3,17,459,No,1,1,38,2,3.75,7.5,No
709,2019/04/01,12:30:46,3,17,120,No,1,1,44,2,2.5,5,No
711,2019/04/01,18:34:56,3,12,136,No,1,1,60,2,3.75,7.5,No
724,2019/04/01,13:05:56,3,17,596,Yes,1,1,58,1,3.5,3.5,No
725,2019/04/01,19:25:42,3,17,393,No,1,1,55,1,4,4,No
728,2019/04/01,16:31:22,3,17,126,No,1,1,51,2,3,6,No
737,2019/04/01,15:01:21,3,12,162,No,1,1,34,2,2.45,4.9,No
739,2019/04/01,12:46:22,3,17,230,Yes,1,1,56,1,2.55,2.55,No
755,2019/04/01,18:43:42,3,12,290,Yes,1,1,25,1,2.2,2.2,No
766,2019/04/01,15:09:37,3,12,119,Yes,1,1,22,1,2,2,No
770,2019/04/01,17:22:29,3,17,332,No,1,1,58,2,3.5,7,No
771,2019/04/01,16:38:05,3,12,138,Yes,1,1,35,1,3.1,3.1,No
777,2019/04/01,14:35:47,3,17,361,No,1,1,55,1,4,4,No
778,2019/04/01,15:10:55,3,17,488,No,1,1,42,1,2.5,2.5,No
780,2019/04/01,14:05:30,3,12,222,Yes,1,1,60,1,3.75,3.75,No
782,2019/04/01,18:00:34,3,17,141,Yes,1,1,53,1,3,3,No
789,2019/04/01,18:31:25,3,12,505,No,1,1,41,2,4.25,8.5,No
790,2019/04/01,12:42:26,3,17,139,Yes,1,1,53,1,3,3,No
793,2019/04/01,13:09:20,3,17,473,No,1,1,26,1,3,3,No
798,2019/04/01,19:29:01,3,17,329,Yes,1,1,44,2,2.5,5,No
803,2019/04/01,11:26:24,3,17,600,No,1,1,49,2,3,6,No
807,2019/04/01,16:47:11,3,17,796,No,1,1,26,2,3,6,No
809,2019/04/01,16:51:18,3,12,52,No,1,1,37,2,3,6,No
810,2019/04/01,18:51:41,3,17,702,Yes,1,1,28,1,2,2,No
820,2019/04/01,19:21:29,3,12,466,No,1,1,51,1,3,3,No
820,2019/04/01,19:21:29,3,12,466,No,1,5,74,1,3.5,3.5,No
823,2019/04/01,19:32:22,3,17,24,Yes,1,1,47,1,3,3,No
828,2019/04/01,11:14:07,3,12,456,Yes,1,1,52,1,2.5,2.5,No
831,2019/04/01,19:38:46,3,12,406,No,1,1,55,2,4,8,No
855,2019/04/01,15:12:22,3,12,637,No,1,1,24,1,3,3,No
859,2019/04/01,17:44:28,3,12,209,Yes,1,1,27,2,3.5,7,No
859,2019/04/01,17:44:28,3,12,209,Yes,1,5,74,1,3.5,3.5,No
861,2019/04/01,13:09:03,3,17,438,Yes,1,1,35,1,3.1,3.1,No
869,2019/04/01,16:42:12,3,17,536,Yes,1,1,36,2,3.75,7.5,No
873,2019/04/01,19:07:26,3,17,550,Yes,1,1,46,1,2.5,2.5,No
873,2019/04/01,19:07:26,3,17,550,Yes,1,5,78,1,4.5,4.5,No
889,2019/04/01,16:58:31,3,12,548,No,1,1,45,2,3,6,No
889,2019/04/01,16:58:31,3,12,548,No,1,5,70,1,3.25,3.25,No
891,2019/04/01,12:12:21,3,17,662,Yes,1,1,34,2,2.45,4.9,No
891,2019/04/01,12:12:21,3,17,662,Yes,1,5,71,1,3.75,3.75,No
901,2019/04/01,15:09:38,3,12,341,Yes,1,1,29,1,2.5,2.5,No
901,2019/04/01,15:09:38,3,12,341,Yes,1,5,71,1,3.75,3.75,No
902,2019/04/01,13:23:54,3,17,685,No,1,1,58,2,3.5,7,No
917,2019/04/01,19:10:16,3,12,631,Yes,1,1,27,2,3.5,7,No
919,2019/04/01,19:06:41,3,17,675,No,1,1,54,1,2.5,2.5,No
921,2019/04/01,11:44:31,3,12,773,No,1,1,56,1,2.55,2.55,No
923,2019/04/01,13:44:26,3,17,740,No,1,1,57,1,3.1,3.1,No
924,2019/04/01,12:58:53,3,17,743,No,1,1,57,2,3.1,6.2,No
932,2019/04/01,15:55:09,3,12,296,No,1,1,44,2,2.5,5,No
944,2019/04/01,19:25:57,3,17,63,Yes,1,1,50,2,2.5,5,No
944,2019/04/01,19:25:57,3,17,63,Yes,1,5,69,1,3.25,3.25,No
946,2019/04/01,12:04:37,3,17,563,No,1,1,47,2,3,6,No
948,2019/04/01,16:18:56,3,17,424,No,1,1,61,1,4.75,4.75,No
960,2019/04/01,14:07:56,3,12,382,Yes,1,1,23,1,2.5,2.5,No
964,2019/04/01,12:33:20,3,12,608,Yes,1,1,54,2,2.5,5,No
968,2019/04/01,18:22:07,3,17,497,Yes,1,1,53,1,3,3,No
969,2019/04/01,15:19:19,3,17,313,No,1,1,43,1,3,3,No
984,2019/04/01,15:17:06,3,12,81,No,1,1,53,1,3,3,No
988,2019/04/01,16:58:33,3,12,384,Yes,1,1,37,1,3,3,No
993,2019/04/01,13:42:10,3,12,398,No,1,1,43,1,3,3,No
994,2019/04/01,15:50:59,3,17,44,No,1,1,39,1,4.25,4.25,No
1000,2019/04/01,16:07:20,3,17,732,No,1,1,23,2,2.5,5,No
1010,2019/04/01,16:17:52,3,17,430,No,1,1,29,2,2.5,5,No
1014,2019/04/01,13:19:36,3,12,601,No,1,1,23,1,2.5,2.5,No
1015,2019/04/01,11:40:26,3,12,7,No,1,1,52,2,2.5,5,No
1017,2019/04/01,11:15:33,3,17,318,Yes,1,1,54,1,2.5,2.5,No
1018,2019/04/01,19:39:00,3,17,467,Yes,1,1,47,2,3,6,No
1023,2019/04/01,15:27:11,3,12,434,Yes,1,1,58,2,3.5,7,No
1033,2019/04/01,14:53:00,3,12,781,No,1,1,43,1,3,3,No
1042,2019/04/01,19:45:16,3,12,316,No,1,1,41,1,4.25,4.25,No
1046,2019/04/01,19:38:00,3,12,399,No,1,1,33,1,3.5,3.5,No
1051,2019/04/01,19:04:14,3,17,403,Yes,1,1,29,2,2.5,5,No
1052,2019/04/01,17:59:05,3,12,685,No,1,1,48,1,2.5,2.5,No
1057,2019/04/01,15:44:32,3,17,409,No,1,1,44,2,2.5,5,No
1057,2019/04/01,15:44:32,3,17,409,No,1,5,78,1,4.5,4.5,No
1064,2019/04/01,17:32:16,3,12,557,Yes,1,1,38,2,3.75,7.5,No
1065,2019/04/01,12:33:35,3,17,231,Yes,1,1,29,2,2.5,5,No
1071,2019/04/01,11:36:00,3,17,571,No,1,1,40,2,3.75,7.5,No
1072,2019/04/01,16:20:47,3,12,235,Yes,1,1,41,1,4.25,4.25,No
1088,2019/04/01,15:59:51,3,17,226,No,1,1,50,2,2.5,5,No
1093,2019/04/01,16:03:30,3,17,745,No,1,1,34,2,2.45,4.9,No
1094,2019/04/01,15:01:50,3,12,355,Yes,1,1,27,1,3.5,3.5,No
1095,2019/04/01,13:40:47,3,17,177,Yes,1,1,54,2,2.5,5,No
1096,2019/04/01,17:15:12,3,12,379,No,1,1,59,1,4.5,4.5,No
1108,2019/04/01,11:36:56,3,17,654,Yes,1,1,55,1,4,4,No
1114,2019/04/01,17:10:35,3,12,428,No,1,1,59,1,4.5,4.5,No
1116,2019/04/01,17:29:08,3,12,402,Yes,1,1,37,1,3,3,No
1117,2019/04/01,18:10:03,3,12,179,Yes,1,1,58,1,3.5,3.5,No
1120,2019/04/01,14:45:37,3,17,536,No,1,1,38,1,3.75,3.75,No
1123,2019/04/01,12:09:46,3,17,299,No,1,1,26,2,3,6,No
1125,2019/04/01,12:50:28,3,12,184,Yes,1,1,32,2,3,6,No
1145,2019/04/01,12:13:07,3,12,328,No,1,1,42,1,2.5,2.5,No
1146,2019/04/01,17:22:36,3,17,574,No,1,1,36,1,3.75,3.75,No
1151,2019/04/01,13:41:09,3,12,337,No,1,1,42,2,2.5,5,No
1167,2019/04/01,17:51:22,3,12,5,No,1,1,53,1,3,3,No
1169,2019/04/01,13:52:28,3,12,669,Yes,1,1,56,2,2.55,5.1,No
1169,2019/04/01,13:52:28,3,12,669,Yes,1,5,70,1,3.25,3.25,No
1182,2019/04/01,19:18:58,3,12,80,Yes,1,1,53,1,3,3,No
1185,2019/04/01,12:40:00,3,17,490,No,1,1,37,2,3,6,No
1185,2019/04/01,12:40:00,3,17,490,No,1,5,69,1,3.25,3.25,No
1187,2019/04/01,12:48:08,3,17,567,Yes,1,1,38,2,3.75,7.5,No
1195,2019/04/01,11:50:23,3,17,222,Yes,1,1,36,2,3.75,7.5,No
1198,2019/04/01,15:44:22,3,12,408,Yes,1,1,38,2,3.75,7.5,No
1201,2019/04/01,16:56:48,3,12,85,No,1,1,28,1,2,2,No
1206,2019/04/01,15:52:23,3,12,540,No,1,1,29,2,2.5,5,No
1207,2019/04/01,12:36:17,3,12,55,No,1,1,40,2,3.75,7.5,No
1207,2019/04/01,12:36:17,3,12,55,No,1,5,71,1,3.75,3.75,No
1209,2019/04/01,17:29:25,3,17,2,Yes,1,1,46,1,2.5,2.5,No
1209,2019/04/01,17:29:25,3,17,2,Yes,1,5,75,1,3.5,3.5,No
1210,2019/04/01,19:41:15,3,12,135,No,1,1,51,1,3,3,No
1230,2019/04/01,15:27:54,3,12,227,No,1,1,56,1,2.55,2.55,No
1233,2019/04/01,15:42:49,3,17,305,No,1,1,40,1,3.75,3.75,No
1238,2019/04/01,12:43:33,3,17,453,Yes,1,1,29,1,2.5,2.5,No
1247,2019/04/01,11:33:29,3,12,146,Yes,1,1,45,1,3,3,No
1247,2019/04/01,11:33:29,3,12,146,Yes,1,5,74,1,3.5,3.5,No
1257,2019/04/01,13:35:04,3,12,646,No,1,1,30,2,3,6,No
1261,2019/04/01,14:02:12,3,12,770,Yes,1,1,49,1,3,3,No
1264,2019/04/01,14:55:34,3,17,97,Yes,1,1,34,2,2.45,4.9,No
1271,2019/04/01,12:46:55,3,17,434,No,1,1,33,1,3.5,3.5,No
1271,2019/04/01,12:46:55,3,17,434,No,1,5,75,1,3.5,3.5,No
1278,2019/04/01,14:20:06,3,12,181,No,1,1,35,2,3.1,6.2,No
1279,2019/04/01,12:56:33,3,17,247,No,1,1,61,1,4.75,4.75,No
1285,2019/04/01,15:55:50,3,17,3,No,1,1,31,2,2.2,4.4,No
1286,2019/04/01,15:26:37,3,12,606,No,1,1,41,2,4.25,8.5,No
1288,2019/04/01,17:55:47,3,12,603,Yes,1,1,59,2,4.5,9,No
1288,2019/04/01,17:55:47,3,12,603,Yes,1,5,70,1,3.25,3.25,No
1291,2019/04/01,14:46:03,3,12,428,No,1,1,44,2,2.5,5,No
1291,2019/04/01,14:46:03,3,12,428,No,1,5,77,1,3,3,No
1293,2019/04/01,11:05:21,3,17,447,No,1,1,31,2,2.2,4.4,No
1296,2019/04/01,14:03:41,3,17,730,Yes,1,1,32,1,3,3,No
1297,2019/04/01,15:57:47,3,17,672,Yes,1,1,57,2,3.1,6.2,No
1298,2019/04/01,16:36:10,3,12,189,Yes,1,1,28,1,2,2,No
1301,2019/04/01,18:22:53,3,17,169,Yes,1,1,32,1,3,3,No
1301,2019/04/01,18:22:53,3,17,169,Yes,1,5,79,1,3.75,3.75,No
1302,2019/04/01,19:12:14,3,17,18,Yes,1,1,22,1,2,2,No
1320,2019/04/01,17:37:58,3,17,646,Yes,1,1,31,2,2.2,4.4,No
1325,2019/04/01,12:03:43,3,17,477,Yes,1,1,44,1,2.5,2.5,No
1332,2019/04/01,13:00:03,3,17,377,Yes,1,1,36,2,3.75,7.5,No
1333,2019/04/01,18:25:51,3,12,258,Yes,1,1,61,1,4.75,4.75,No
1334,2019/04/01,16:30:37,3,17,8,No,1,1,33,2,3.5,7,No
1343,2019/04/01,16:19:17,3,17,404,Yes,1,1,56,1,2.55,2.55,No
1352,2019/04/01,14:37:23,3,12,369,Yes,1,1,34,2,2.45,4.9,No
1355,2019/04/01,11:01:58,3,17,580,Yes,1,1,38,1,3.75,3.75,No
1355,2019/04/01,11:01:58,3,17,580,Yes,1,5,75,1,3.5,3.5,No
1359,2019/04/01,14:31:32,3,12,429,No,1,1,33,2,3.5,7,No
1362,2019/04/01,12:47:29,3,17,11,No,1,1,48,1,2.5,2.5,No
1364,2019/04/01,16:55:13,3,12,365,No,1,1,29,1,2.5,2.5,No
1364,2019/04/01,16:55:13,3,12,365,No,1,5,73,1,3.75,3.75,No
1367,2019/04/01,14:25:32,3,12,51,No,1,1,58,2,3.5,7,No
1371,2019/04/01,14:43:13,3,12,373,No,1,1,50,2,2.5,5,No
1380,2019/04/01,15:22:11,3,12,725,Yes,1,1,39,2,4.25,8.5,No
1383,2019/04/01,18:42:04,3,12,656,Yes,1,1,60,2,3.75,7.5,No
1384,2019/04/01,17:44:04,3,17,677,Yes,1,1,47,2,3,6,No
1386,2019/04/01,15:36:03,3,17,441,No,1,1,52,1,2.5,2.5,No
1386,2019/04/01,15:36:03,3,17,441,No,1,5,79,1,3.75,3.75,No
1388,2019/04/01,14:17:29,3,17,101,No,1,1,26,1,3,3,No
1389,2019/04/01,11:14:45,3,17,212,Yes,1,1,52,2,2.5,5,No
1391,2019/04/01,17:42:35,3,12,199,Yes,1,1,24,1,3,3,No
1402,2019/04/01,16:12:12,3,17,230,Yes,1,1,54,1,2.5,2.5,No
1402,2019/04/01,16:12:12,3,17,230,Yes,1,5,76,1,3.5,3.5,No
1404,2019/04/01,11:40:20,3,12,534,Yes,1,1,61,1,4.75,4.75,No
1406,2019/04/01,12:27:46,3,12,231,Yes,1,1,59,1,4.5,4.5,No
1407,2019/04/01,19:57:56,3,12,448,Yes,1,1,35,1,3.1,3.1,No
1416,2019/04/01,11:59:48,3,17,391,No,1,1,52,2,2.5,5,No
1417,2019/04/01,18:49:50,3,17,168,No,1,1,51,2,3,6,No
1419,2019/04/01,14:34:35,3,17,447,Yes,1,1,52,2,2.5,5,No
1419,2019/04/01,14:34:35,3,17,447,Yes,1,5,75,1,3.5,3.5,No
1430,2019/04/01,14:13:48,3,12,25,Yes,1,1,61,1,4.75,4.75,No
1430,2019/04/01,14:13:48,3,12,25,Yes,1,5,77,1,3,3,No
1436,2019/04/01,18:52:57,3,12,90,Yes,1,1,59,2,4.5,9,No
1437,2019/04/01,17:25:45,3,12,677,Yes,1,1,58,2,3.5,7,No
1447,2019/04/01,18:22:12,3,12,70,No,1,1,61,2,4.75,9.5,No
1459,2019/04/01,14:36:23,3,12,581,No,1,1,30,2,3,6,No
1461,2019/04/01,14:07:12,3,17,398,No,1,1,41,2,4.25,8.5,No
1475,2019/04/01,17:10:34,3,12,459,Yes,1,1,27,1,3.5,3.5,No
1478,2019/04/01,13:31:51,3,12,744,Yes,1,1,44,2,2.5,5,No
1480,2019/04/01,18:43:19,3,12,795,Yes,1,1,57,1,3.1,3.1,No
1488,2019/04/01,19:41:22,3,12,265,No,1,1,35,2,3.1,6.2,No
1495,2019/04/01,13:04:51,3,12,72,No,1,1,22,1,2,2,No
1496,2019/04/01,19:34:12,3,17,133,No,1,1,48,1,2.5,2.5,No
1496,2019/04/01,19:34:12,3,17,133,No,1,5,70,1,3.25,3.25,No
1498,2019/04/01,16:52:57,3,12,710,No,1,1,45,2,3,6,No
1513,2019/04/01,19:25:50,3,17,448,Yes,1,1,51,1,3,3,No
1513,2019/04/01,19:25:50,3,17,448,Yes,1,5,70,1,3.25,3.25,No
1516,2019/04/01,19:47:17,3,17,414,Yes,1,1,40,1,3.75,3.75,No
